2025-10-15
TIME D00001 D00002 D00003 D00004 D00005
09:00 0 0 0 0 0
09:10 0 0 0 0 0
09:20 0 0 0 0 0
09:30 0 0 0 0 0
09:40 0 0 0 0 0
09:50 0 0 0 0 0
10:00 0 0 0 0 0
10:10 0 0 0 0 0
10:20 0 0 0 0 R00000058(1)
10:30 0 0 0 0 R00000056(2)
10:40 0 0 0 0 0
10:50 0 0 0 0 0
11:00 0 0 0 0 0
11:10 0 0 0 0 0
11:20 0 0 0 0 0
11:30 0 0 0 0 0
11:40 0 0 0 0 0
11:50 0 0 0 0 0
12:00 0 0 0 0 0
12:10 0 0 0 0 0
12:20 0 0 0 0 0
12:30 0 0 0 0 0
12:40 0 0 0 0 0
12:50 0 0 0 0 0
13:00 0 0 0 0 0
13:10 0 0 0 0 0
13:20 0 0 0 0 0
13:30 0 0 0 0 0
13:40 0 0 0 0 0
13:50 0 0 0 0 0
14:00 0 0 0 0 0
14:10 0 0 R00000057(1) 0 0
14:20 0 0 0 0 0
14:30 0 0 0 0 0
14:40 0 0 0 0 0
14:50 0 0 0 0 0
15:00 0 0 0 0 0
15:10 0 0 0 0 0
15:20 0 0 0 0 0
15:30 0 0 0 0 0
15:40 0 0 0 0 0
15:50 0 0 0 0 0
16:00 0 0 0 0 0
16:10 0 0 0 0 0
16:20 0 0 0 0 0
16:30 0 0 0 0 0
16:40 0 0 0 0 0
16:50 0 0 0 0 0
17:00 0 0 0 0 0
17:10 0 0 0 0 0
17:20 0 0 0 0 0
17:30 0 0 0 0 0
17:40 0 0 0 0 0
17:50 0 0 0 0 0
