2025-11-27
TIME D00001 D00002 D00003 D00004
09:00 R00000001(1) 0 0 0
09:10 0 0 0 0
09:20 R00000008(1) 0 0 0
09:30 R00000009(1) 0 0 0
09:40 R00000010(1) 0 0 0
09:50 R00000011(1) 0 0 0
10:00 R00000012(1) 0 0 0
10:10 R00000013(1) 0 0 0
10:20 R00000014(1) 0 0 0
10:30 R00000004(1) 0 0 0
10:40 R00000015(1) 0 0 0
10:50 R00000016(1) 0 0 0
11:00 R00000017(1) 0 0 0
11:10 R00000018(1) 0 0 0
11:20 R00000019(1) R00000002(1) 0 0
11:30 R00000020(1) 0 0 0
11:40 R00000021(1) 0 0 0
11:50 R00000022(1) 0 0 0
12:00 R00000023(1) 0 0 0
12:10 R00000024(1) 0 0 0
12:20 R00000025(1) 0 0 0
12:30 R00000026(1) 0 0 0
12:40 R00000027(1) 0 0 0
12:50 R00000028(1) 0 0 0
13:00 R00000029(1) 0 0 0
13:10 R00000030(1) 0 0 0
13:20 R00000031(1) 0 0 0
13:30 R00000032(1) 0 0 0
13:40 R00000033(1) 0 0 0
13:50 R00000034(1) 0 0 0
14:00 R00000035(1) 0 0 0
14:10 R00000036(1) 0 0 0
14:20 R00000037(1) 0 0 0
14:30 R00000038(1) 0 0 0
14:40 R00000039(1) 0 0 0
14:50 R00000040(1) 0 0 0
15:00 R00000003(1) 0 0 0
15:10 R00000041(1) 0 0 0
15:20 R00000042(1) 0 0 0
15:30 R00000043(1) 0 0 0
15:40 R00000044(1) 0 0 0
15:50 R00000045(1) 0 0 0
16:00 R00000046(1) 0 0 0
16:10 R00000047(1) 0 0 0
16:20 R00000048(1) 0 0 0
16:30 R00000049(1) 0 0 0
16:40 R00000050(1) 0 0 0
16:50 R00000051(1) 0 0 0
17:00 R00000052(1) 0 0 0
17:10 R00000053(1) 0 0 0
17:20 R00000054(1) 0 0 0
17:30 0 0 0 0
17:40 0 0 0 0
17:50 0 0 0 0
